4931,4,mpu9250,277.671 1.931 90.827
4941,3,bmp280,20.779999 100405.515625
4961,4,mpu9250,277.712 1.958 90.791
4991,4,mpu9250,277.680 2.003 90.729
5011,3,bmp280,20.779999 100405.515625
5021,4,mpu9250,277.678 2.004 90.707
5051,4,mpu9250,277.598 2.085 90.681
5051,3,bmp280,20.779999 100405.515625
5071,4,mpu9250,277.482 2.145 90.582
5101,4,mpu9250,277.321 2.147 90.509
5121,4,mpu9250,276.863 1.964 90.424
5151,4,mpu9250,276.660 1.839 90.856
5161,3,bmp280,20.779999 100405.515625
5181,4,mpu9250,276.760 1.839 90.823
5201,3,bmp280,20.779999 100405.515625
5211,4,mpu9250,276.848 1.887 90.688
5231,4,mpu9250,276.959 1.865 90.658
5241,3,bmp280,20.779999 100405.515625
5261,4,mpu9250,277.045 1.864 90.661
5281,3,bmp280,20.779999 100405.515625
5291,4,mpu9250,277.092 1.851 90.712
5311,3,bmp280,20.779999 100405.515625
5321,4,mpu9250,277.134 1.822 90.759
5351,4,mpu9250,277.176 1.840 90.766
5351,3,bmp280,20.779999 100405.515625
5381,4,mpu9250,277.222 1.887 90.731
5391,3,bmp280,20.779999 100405.515625
5411,4,mpu9250,277.235 1.915 90.704
5431,3,bmp280,20.789999 100406.242188
5441,4,mpu9250,277.188 1.931 90.690
5471,4,mpu9250,277.208 1.917 90.705
5501,4,mpu9250,277.213 1.899 90.730
5501,3,bmp280,20.789999 100406.242188
5521,4,mpu9250,277.228 1.891 90.747
5541,3,bmp280,20.789999 100406.242188
5551,4,mpu9250,277.267 1.887 90.740
5581,4,mpu9250,277.311 1.877 90.723
5581,3,bmp280,20.789999 100406.242188
5621,4,mpu9250,277.290 1.916 90.735
5621,3,bmp280,20.789999 100406.242188
5641,4,mpu9250,277.263 1.939 90.751
5651,3,bmp280,20.789999 100406.242188
5671,4,mpu9250,277.297 1.937 90.731
5691,3,bmp280,20.789999 100406.242188
5701,4,mpu9250,277.285 1.968 90.698
5731,4,mpu9250,277.340 1.991 90.660
5751,4,mpu9250,277.360 2.002 90.668
5771,3,bmp280,20.789999 100406.242188
5781,4,mpu9250,277.408 1.970 90.681
5801,3,bmp280,20.789999 100406.242188
5811,4,mpu9250,277.471 1.944 90.678
5841,4,mpu9250,277.516 1.956 90.669
5871,4,mpu9250,277.566 1.945 90.684
5891,4,mpu9250,277.684 1.909 90.686
5921,3,bmp280,20.789999 100406.242188
5921,4,mpu9250,277.693 1.919 90.699
5951,4,mpu9250,277.680 1.947 90.690
5951,3,bmp280,20.789999 100406.242188
5981,4,mpu9250,277.610 1.993 90.691
5991,3,bmp280,20.789999 100407.000000
6011,4,mpu9250,277.572 2.011 90.698
6031,3,bmp280,20.789999 100407.000000
6041,4,mpu9250,277.585 2.007 90.693
6061,4,mpu9250,277.563 1.995 90.697
6071,3,bmp280,20.789999 100407.000000
6101,4,mpu9250,277.486 2.030 90.670
6121,4,mpu9250,277.242 2.062 90.529
6141,3,bmp280,20.789999 100407.000000
6151,4,mpu9250,276.636 2.090 90.368
6181,4,mpu9250,275.860 2.148 90.311
6201,4,mpu9250,275.291 2.110 90.434
6221,3,bmp280,20.789999 100407.000000
6231,4,mpu9250,275.029 1.999 90.614
6261,3,bmp280,20.789999 100407.000000
6261,4,mpu9250,274.985 1.955 90.632
6291,4,mpu9250,275.002 1.895 90.596
6291,3,bmp280,20.789999 100407.000000
6321,4,mpu9250,274.969 1.914 90.537
6331,3,bmp280,20.789999 100407.000000
6341,4,mpu9250,274.963 1.874 90.543
6371,3,bmp280,20.789999 100407.000000
6371,4,mpu9250,274.872 1.920 90.528
6401,4,mpu9250,274.837 1.900 90.548
6411,3,bmp280,20.789999 100407.000000
6431,4,mpu9250,274.789 1.779 90.661
6441,3,bmp280,20.789999 100407.000000
6451,4,mpu9250,274.814 1.736 90.699
6481,4,mpu9250,274.876 1.830 90.601
